date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-10-07,9:24:52 PM,32,3,12,8,1,1,2,2,1,0.7293336,
2019-10-07,9:24:53 PM,32,3,12,8,1,2,8,8,1,0.6684501,
2019-10-07,9:24:54 PM,32,3,12,8,1,3,1,1,1,0.6728038,
2019-10-07,9:24:55 PM,32,3,12,8,1,4,4,4,1,0.6105497,
2019-10-07,9:24:56 PM,32,3,12,8,1,5,3,3,1,0.5891519,
2019-10-07,9:24:57 PM,32,3,12,8,1,6,6,6,1,0.4810235,
2019-10-07,9:24:58 PM,32,3,12,8,1,7,7,7,1,0.5561681,
2019-10-07,9:24:59 PM,32,3,12,8,1,8,5,5,1,0.5549995,
2019-10-07,9:25:01 PM,32,3,12,8,2,9,2,2,1,0.6665758,
2019-10-07,9:25:02 PM,32,3,12,8,2,10,5,5,1,0.6268331,
2019-10-07,9:25:03 PM,32,3,12,8,2,11,3,3,1,0.6136951,
2019-10-07,9:25:04 PM,32,3,12,8,2,12,8,8,1,0.5550035,
2019-10-07,9:25:05 PM,32,3,12,8,2,13,1,1,1,0.6593502,
2019-10-07,9:25:06 PM,32,3,12,8,2,14,6,6,1,0.6232328,
2019-10-07,9:25:07 PM,32,3,12,8,2,15,4,4,1,0.5375455,
2019-10-07,9:25:08 PM,32,3,12,8,2,16,7,7,1,0.6213462,
2019-10-07,9:25:10 PM,32,3,12,4,3,17,2,2,1,0.6070936,
2019-10-07,9:25:11 PM,32,3,12,4,3,18,1,1,1,0.6010813,
2019-10-07,9:25:12 PM,32,3,12,4,3,19,3,3,1,0.4498837,
2019-10-07,9:25:13 PM,32,3,12,4,3,20,4,4,1,0.4758691,
2019-10-07,9:25:15 PM,32,3,12,4,4,21,3,3,1,0.5354212,
2019-10-07,9:25:16 PM,32,3,12,4,4,22,2,2,1,0.4913365,
2019-10-07,9:25:16 PM,32,3,12,4,4,23,4,4,1,0.4380575,
2019-10-07,9:25:17 PM,32,3,12,4,4,24,1,1,1,0.5444237,
2019-10-07,9:25:19 PM,32,3,12,12,5,25,11,11,1,0.565224,
2019-10-07,9:25:20 PM,32,3,12,12,5,26,6,6,1,0.5947457,
2019-10-07,9:25:21 PM,32,3,12,12,5,27,9,9,1,0.5979229,
2019-10-07,9:25:22 PM,32,3,12,12,5,28,10,10,1,0.6298321,
2019-10-07,9:25:22 PM,32,3,12,12,5,29,8,8,1,0.5293183,
2019-10-07,9:25:23 PM,32,3,12,12,5,30,12,12,1,0.6387643,
2019-10-07,9:25:24 PM,32,3,12,12,5,31,2,2,1,0.6834982,
2019-10-07,9:25:25 PM,32,3,12,12,5,32,5,5,1,0.56837,
2019-10-07,9:25:27 PM,32,3,12,12,5,33,7,7,1,0.7163025,
2019-10-07,9:25:28 PM,32,3,12,12,5,34,1,1,1,0.6395133,
2019-10-07,9:25:29 PM,32,3,12,12,5,35,4,3,0,0.6303599,
2019-10-07,9:25:30 PM,32,3,12,12,5,36,4,4,1,0.750183,
2019-10-07,9:25:32 PM,32,3,12,12,6,37,4,4,1,0.7107313,
2019-10-07,9:25:33 PM,32,3,12,12,6,38,10,10,1,0.5595038,
2019-10-07,9:25:34 PM,32,3,12,12,6,39,1,1,1,0.6316539,
2019-10-07,9:25:35 PM,32,3,12,12,6,40,7,3,0,0.3635,
2019-10-07,9:25:36 PM,32,3,12,12,6,41,5,5,1,0.6060101,
2019-10-07,9:25:37 PM,32,3,12,12,6,42,7,7,1,0.6090057,
2019-10-07,9:25:38 PM,32,3,12,12,6,43,2,2,1,0.6107637,
2019-10-07,9:25:39 PM,32,3,12,12,6,44,6,6,1,0.6600835,
2019-10-07,9:25:40 PM,32,3,12,12,6,45,11,11,1,0.7963575,
2019-10-07,9:25:42 PM,32,3,12,12,6,46,12,12,1,0.7836053,
2019-10-07,9:25:43 PM,32,3,12,12,6,47,8,8,1,0.6298059,
2019-10-07,9:25:44 PM,32,3,12,12,6,48,9,9,1,0.7046225,
2019-10-07,9:25:48 PM,32,4,12,4,1,1,1,1,1,1.923267,
2019-10-07,9:25:49 PM,32,4,12,4,1,2,3,3,1,0.595132,
2019-10-07,9:25:50 PM,32,4,12,4,1,3,4,4,1,0.5036504,
2019-10-07,9:25:51 PM,32,4,12,4,1,4,2,2,1,0.5145394,
2019-10-07,9:25:53 PM,32,4,12,4,2,5,3,3,1,0.6189075,
2019-10-07,9:25:54 PM,32,4,12,4,2,6,2,2,1,0.5666156,
2019-10-07,9:25:54 PM,32,4,12,4,2,7,4,4,1,0.47744,
2019-10-07,9:25:55 PM,32,4,12,4,2,8,1,1,1,0.6358291,
2019-10-07,9:25:58 PM,32,4,12,12,3,9,4,3,0,0.8084192,
2019-10-07,9:25:59 PM,32,4,12,12,3,10,2,2,1,0.6952732,
2019-10-07,9:26:00 PM,32,4,12,12,3,11,4,4,1,0.6450429,
2019-10-07,9:26:01 PM,32,4,12,12,3,12,5,5,1,0.6570001,
2019-10-07,9:26:02 PM,32,4,12,12,3,13,9,9,1,0.5722728,
2019-10-07,9:26:03 PM,32,4,12,12,3,14,8,8,1,0.590122,
2019-10-07,9:26:04 PM,32,4,12,12,3,15,12,12,1,0.714574,
2019-10-07,9:26:05 PM,32,4,12,12,3,16,10,10,1,0.6632487,
2019-10-07,9:26:06 PM,32,4,12,12,3,17,2,1,0,0.6635097,
2019-10-07,9:26:06 PM,32,4,12,12,3,18,7,6,0,0.5993333,
2019-10-07,9:26:07 PM,32,4,12,12,3,19,11,11,1,0.6403478,
2019-10-07,9:26:08 PM,32,4,12,12,3,20,7,7,1,0.683522,
2019-10-07,9:26:10 PM,32,4,12,12,4,21,8,8,1,0.600014,
2019-10-07,9:26:12 PM,32,4,12,12,4,22,3,3,1,1.268246,
2019-10-07,9:26:13 PM,32,4,12,12,4,23,10,10,1,0.6290039,
2019-10-07,9:26:14 PM,32,4,12,12,4,24,2,1,0,0.728857,
2019-10-07,9:26:16 PM,32,4,12,12,4,25,2,2,1,0.8865138,
2019-10-07,9:26:17 PM,32,4,12,12,4,26,4,4,1,0.7611433,
2019-10-07,9:26:18 PM,32,4,12,12,4,27,7,6,0,0.6806006,
2019-10-07,9:26:19 PM,32,4,12,12,4,28,9,9,1,0.7261361,
2019-10-07,9:26:21 PM,32,4,12,12,4,29,12,12,1,1.729997,
2019-10-07,9:26:22 PM,32,4,12,12,4,30,7,7,1,0.7143239,
2019-10-07,9:26:23 PM,32,4,12,12,4,31,5,5,1,0.6425263,
2019-10-07,9:26:25 PM,32,4,12,12,4,32,11,11,1,0.8515755,
2019-10-07,9:26:27 PM,32,4,12,8,5,33,3,3,1,0.7208216,
2019-10-07,9:26:28 PM,32,4,12,8,5,34,4,4,1,0.5972379,
2019-10-07,9:26:29 PM,32,4,12,8,5,35,5,5,1,0.5653123,
2019-10-07,9:26:30 PM,32,4,12,8,5,36,6,6,1,0.6140622,
2019-10-07,9:26:31 PM,32,4,12,8,5,37,8,8,1,0.6680766,
2019-10-07,9:26:32 PM,32,4,12,8,5,38,2,1,0,0.6168518,
2019-10-07,9:26:32 PM,32,4,12,8,5,39,2,2,1,0.6403844,
2019-10-07,9:26:33 PM,32,4,12,8,5,40,7,7,1,0.6741069,
2019-10-07,9:26:37 PM,32,4,12,8,6,41,7,7,1,1.42364,
2019-10-07,9:26:38 PM,32,4,12,8,6,42,3,3,1,0.7274321,
2019-10-07,9:26:39 PM,32,4,12,8,6,43,6,6,1,0.5785219,
2019-10-07,9:26:40 PM,32,4,12,8,6,44,1,1,1,0.6128692,
2019-10-07,9:26:41 PM,32,4,12,8,6,45,5,5,1,0.5450463,
2019-10-07,9:26:41 PM,32,4,12,8,6,46,4,4,1,0.5802254,
2019-10-07,9:26:42 PM,32,4,12,8,6,47,8,8,1,0.6266103,
2019-10-07,9:26:43 PM,32,4,12,8,6,48,2,2,1,0.6699193,
2019-10-07,9:26:46 PM,32,2,12,12,1,1,7,7,1,0.6223754,
2019-10-07,9:26:47 PM,32,2,12,12,1,2,10,10,1,0.6182371,
2019-10-07,9:26:48 PM,32,2,12,12,1,3,4,3,0,0.8087717,
2019-10-07,9:26:49 PM,32,2,12,12,1,4,10,9,0,0.6360245,
2019-10-07,9:26:50 PM,32,2,12,12,1,5,1,12,0,0.7903592,
2019-10-07,9:26:53 PM,32,2,12,12,1,6,5,5,1,1.727282,
2019-10-07,9:26:54 PM,32,2,12,12,1,7,8,8,1,0.6452453,
2019-10-07,9:26:55 PM,32,2,12,12,1,8,11,11,1,0.6333487,
2019-10-07,9:26:56 PM,32,2,12,12,1,9,6,6,1,0.5967839,
2019-10-07,9:26:57 PM,32,2,12,12,1,10,1,1,1,1.185505,
2019-10-07,9:26:58 PM,32,2,12,12,1,11,5,4,0,0.6102641,
2019-10-07,9:26:59 PM,32,2,12,12,1,12,3,2,0,0.6899188,
2019-10-07,9:27:02 PM,32,2,12,12,2,13,6,5,0,0.6226075,
2019-10-07,9:27:03 PM,32,2,12,12,2,14,8,8,1,0.5171283,
2019-10-07,9:27:04 PM,32,2,12,12,2,15,10,10,1,0.6050419,
2019-10-07,9:27:05 PM,32,2,12,12,2,16,11,11,1,0.6165825,
2019-10-07,9:27:05 PM,32,2,12,12,2,17,12,12,1,0.5637575,
2019-10-07,9:27:06 PM,32,2,12,12,2,18,3,1,0,0.7421916,
2019-10-07,9:27:07 PM,32,2,12,12,2,19,7,7,1,0.5730358,
2019-10-07,9:27:08 PM,32,2,12,12,2,20,9,9,1,0.5725742,
2019-10-07,9:27:09 PM,32,2,12,12,2,21,4,3,0,0.6748812,
2019-10-07,9:27:10 PM,32,2,12,12,2,22,3,2,0,0.6472632,
2019-10-07,9:27:11 PM,32,2,12,12,2,23,4,4,1,0.6670226,
2019-10-07,9:27:12 PM,32,2,12,12,2,24,6,6,1,0.6291317,
2019-10-07,9:27:14 PM,32,2,12,8,3,25,2,1,0,0.6362254,
2019-10-07,9:27:15 PM,32,2,12,8,3,26,4,3,0,0.5790325,
2019-10-07,9:27:16 PM,32,2,12,8,3,27,5,4,0,0.4806946,
2019-10-07,9:27:17 PM,32,2,12,8,3,28,5,8,0,0.3857507,
2019-10-07,9:27:18 PM,32,2,12,8,3,29,6,6,1,0.5989757,
2019-10-07,9:27:19 PM,32,2,12,8,3,30,5,5,1,0.5406474,
2019-10-07,9:27:20 PM,32,2,12,8,3,31,2,2,1,0.6081691,
2019-10-07,9:27:21 PM,32,2,12,8,3,32,8,7,0,0.6238632,
2019-10-07,9:27:23 PM,32,2,12,8,4,33,1,1,1,0.9375279,
2019-10-07,9:27:24 PM,32,2,12,8,4,34,6,6,1,0.5310198,
2019-10-07,9:27:25 PM,32,2,12,8,4,35,4,4,1,0.5423239,
2019-10-07,9:27:26 PM,32,2,12,8,4,36,3,2,0,0.5547503,
2019-10-07,9:27:27 PM,32,2,12,8,4,37,5,5,1,0.6046228,
2019-10-07,9:27:28 PM,32,2,12,8,4,38,7,7,1,0.7116383,
2019-10-07,9:27:29 PM,32,2,12,8,4,39,3,3,1,0.6427404,
2019-10-07,9:27:30 PM,32,2,12,8,4,40,8,8,1,0.5990254,
2019-10-07,9:27:31 PM,32,2,12,4,5,41,2,2,1,0.6382397,
2019-10-07,9:27:32 PM,32,2,12,4,5,42,4,4,1,0.4605624,
2019-10-07,9:27:33 PM,32,2,12,4,5,43,1,3,0,0.4843846,
2019-10-07,9:27:34 PM,32,2,12,4,5,44,3,1,0,0.4522851,
2019-10-07,9:27:36 PM,32,2,12,4,6,45,1,1,1,0.598952,
2019-10-07,9:27:37 PM,32,2,12,4,6,46,3,2,0,0.4854609,
2019-10-07,9:27:38 PM,32,2,12,4,6,47,4,4,1,0.5497063,
2019-10-07,9:27:39 PM,32,2,12,4,6,48,3,3,1,0.7199278,
2019-10-07,9:27:41 PM,32,1,12,12,1,1,4,3,0,0.7916262,
2019-10-07,9:27:42 PM,32,1,12,12,1,2,11,11,1,0.656483,
2019-10-07,9:27:43 PM,32,1,12,12,1,3,10,10,1,0.6068843,
2019-10-07,9:27:44 PM,32,1,12,12,1,4,4,4,1,0.6709988,
2019-10-07,9:27:45 PM,32,1,12,12,1,5,8,8,1,0.5526039,
2019-10-07,9:27:46 PM,32,1,12,12,1,6,2,2,1,0.5939769,
2019-10-07,9:27:47 PM,32,1,12,12,1,7,4,5,0,0.7067375,
2019-10-07,9:27:51 PM,32,1,12,12,1,8,12,12,1,0.5781382,
2019-10-07,9:27:51 PM,32,1,12,12,1,9,7,7,1,0.4952087,
2019-10-07,9:27:53 PM,32,1,12,12,1,10,2,1,0,0.7473803,
2019-10-07,9:27:53 PM,32,1,12,12,1,11,9,9,1,0.5903702,
2019-10-07,9:27:54 PM,32,1,12,12,1,12,6,6,1,0.7157861,
2019-10-07,9:27:56 PM,32,1,12,12,2,13,5,5,1,0.6720198,
2019-10-07,9:27:57 PM,32,1,12,12,2,14,12,12,1,0.6127821,
2019-10-07,9:27:58 PM,32,1,12,12,2,15,9,9,1,0.5521533,
2019-10-07,9:27:59 PM,32,1,12,12,2,16,8,8,1,0.6569095,
2019-10-07,9:28:00 PM,32,1,12,12,2,17,6,6,1,0.6746594,
2019-10-07,9:28:01 PM,32,1,12,12,2,18,4,3,0,0.6991126,
2019-10-07,9:28:02 PM,32,1,12,12,2,19,12,11,0,0.6246884,
2019-10-07,9:28:03 PM,32,1,12,12,2,20,4,4,1,0.590907,
2019-10-07,9:28:04 PM,32,1,12,12,2,21,2,2,1,0.6683881,
2019-10-07,9:28:05 PM,32,1,12,12,2,22,7,7,1,0.5975004,
2019-10-07,9:28:06 PM,32,1,12,12,2,23,11,10,0,0.6168314,
2019-10-07,9:28:08 PM,32,1,12,12,2,24,2,1,0,1.767423,
2019-10-07,9:28:11 PM,32,1,12,4,3,25,2,2,1,0.6571892,
2019-10-07,9:28:12 PM,32,1,12,4,3,26,4,4,1,0.6328482,
2019-10-07,9:28:13 PM,32,1,12,4,3,27,1,1,1,0.672814,
2019-10-07,9:28:13 PM,32,1,12,4,3,28,3,3,1,0.5460495,
2019-10-07,9:28:15 PM,32,1,12,4,4,29,1,1,1,0.6799774,
2019-10-07,9:28:16 PM,32,1,12,4,4,30,2,2,1,0.6089248,
2019-10-07,9:28:17 PM,32,1,12,4,4,31,3,3,1,0.55188,
2019-10-07,9:28:18 PM,32,1,12,4,4,32,4,4,1,0.6140223,
2019-10-07,9:28:20 PM,32,1,12,8,5,33,5,5,1,0.6524378,
2019-10-07,9:28:21 PM,32,1,12,8,5,34,2,2,1,0.5621858,
2019-10-07,9:28:22 PM,32,1,12,8,5,35,8,8,1,0.5740732,
2019-10-07,9:28:23 PM,32,1,12,8,5,36,1,1,1,0.6130856,
2019-10-07,9:28:24 PM,32,1,12,8,5,37,7,7,1,0.579613,
2019-10-07,9:28:25 PM,32,1,12,8,5,38,4,4,1,0.5320311,
2019-10-07,9:28:26 PM,32,1,12,8,5,39,3,3,1,0.6209926,
2019-10-07,9:28:26 PM,32,1,12,8,5,40,6,6,1,0.5598493,
2019-10-07,9:28:28 PM,32,1,12,8,6,41,6,6,1,0.6602989,
2019-10-07,9:28:29 PM,32,1,12,8,6,42,2,2,1,0.6807171,
2019-10-07,9:28:30 PM,32,1,12,8,6,43,5,5,1,0.6145675,
2019-10-07,9:28:31 PM,32,1,12,8,6,44,1,1,1,0.5987493,
2019-10-07,9:28:32 PM,32,1,12,8,6,45,7,7,1,0.598439,
2019-10-07,9:28:33 PM,32,1,12,8,6,46,8,8,1,0.604167,
2019-10-07,9:28:34 PM,32,1,12,8,6,47,3,3,1,0.6527403,
2019-10-07,9:28:35 PM,32,1,12,8,6,48,4,4,1,0.6004011,
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-10-07,10:02:47 PM,32, 1,12,8,1,1,3, 3, 1, 0.8145608
2019-10-07,10:02:49 PM,32, 1,12,8,1,2,2, 2, 1, 0.7323805
2019-10-07,10:02:50 PM,32, 1,12,8,1,3,1, 1, 1, 0.7000848
2019-10-07,10:02:51 PM,32, 1,12,8,1,4,6, 7, 0, 0.6162901
2019-10-07,10:02:52 PM,32, 1,12,8,1,5,4, 4, 1, 0.7414231
2019-10-07,10:02:54 PM,32, 1,12,8,1,6,5, 5, 1, 0.701082
2019-10-07,10:03:00 PM,32, 1,12,8,1,7,8, 8, 1, 0.6289171
2019-10-07,10:03:06 PM,32, 1,12,8,1,8,4, 6, 0, 2.139571
2019-10-07,10:03:28 PM,32, 1,12,8,2,9,5, 2, 0, 0.6581554
2019-10-07,10:03:37 PM,32, 1,12,8,2,10,6, 8, 0, 1.085941
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-10-07,10:04:41 PM,32, 4,12,4,1,1,3, 1, 0, 1.036339
2019-10-07,10:04:53 PM,32, 4,12,4,1,2,3, 4, 0, 0.5906962
2019-10-07,10:05:01 PM,32, 4,12,4,1,3,3, 3, 1, 0.9700696
2019-10-07,10:05:03 PM,32, 4,12,4,1,4,3, 2, 0, 0.5301297
2019-10-07,10:05:08 PM,32, 4,12,4,2,5,1, 1, 1, 0.697091
2019-10-07,10:05:20 PM,32, 4,12,4,2,6,2, 2, 1, 1.469185
2019-10-07,10:05:22 PM,32, 4,12,4,2,7,4, 4, 1, 0.6129386
2019-10-07,10:05:24 PM,32, 4,12,4,2,8,3, 3, 1, 0.6733117
2019-10-07,10:05:27 PM,32, 4,12,8,3,9,2, 3, 0, 0.966395
2019-10-07,10:05:29 PM,32, 4,12,8,3,10,4, 4, 1, 1.002389
2019-10-07,10:05:30 PM,32, 4,12,8,3,11,2, 2, 1, 1.097097
2019-10-07,10:05:32 PM,32, 4,12,8,3,12,8, 8, 1, 0.8846651
2019-10-07,10:05:33 PM,32, 4,12,8,3,13,6, 6, 1, 0.666329
2019-10-07,10:05:34 PM,32, 4,12,8,3,14,7, 7, 1, 0.771782
2019-10-07,10:05:36 PM,32, 4,12,8,3,15,1, 1, 1, 0.7319998
2019-10-07,10:05:37 PM,32, 4,12,8,3,16,5, 5, 1, 0.6559668
2019-10-07,10:05:40 PM,32, 4,12,8,4,17,8, 8, 1, 0.9224153
2019-10-07,10:05:41 PM,32, 4,12,8,4,18,1, 2, 0, 0.7320442
2019-10-07,10:05:43 PM,32, 4,12,8,4,19,1, 1, 1, 0.9620799
2019-10-07,10:05:44 PM,32, 4,12,8,4,20,5, 5, 1, 0.6203168
2019-10-07,10:05:45 PM,32, 4,12,8,4,21,4, 4, 1, 0.789886
2019-10-07,10:05:46 PM,32, 4,12,8,4,22,6, 6, 1, 0.6636004
2019-10-07,10:05:47 PM,32, 4,12,8,4,23,7, 7, 1, 0.7222117
2019-10-07,10:05:49 PM,32, 4,12,8,4,24,3, 3, 1, 0.7707448
2019-10-07,10:05:51 PM,32, 4,12,12,5,25,6, 6, 1, 0.7158079
2019-10-07,10:05:52 PM,32, 4,12,12,5,26,4, 5, 0, 0.5896847
2019-10-07,10:05:53 PM,32, 4,12,12,5,27,3, 4, 0, 0.6383569
2019-10-07,10:05:54 PM,32, 4,12,12,5,28,12, 1, 0, 0.6721963
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-10-07,10:06:12 PM,32, 4,12,4,1,1,2, 2, 1, 0.6575822
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-10-07,10:06:22 PM,32, 4,12,8,1,1,2, 2, 1, 0.7281095
2019-10-07,10:06:23 PM,32, 4,12,8,1,2,3, 3, 1, 0.6408412
2019-10-07,10:06:24 PM,32, 4,12,8,1,3,8, 8, 1, 0.8394551
2019-10-07,10:06:26 PM,32, 4,12,8,1,4,1, 1, 1, 0.8770627
2019-10-07,10:06:27 PM,32, 4,12,8,1,5,7, 7, 1, 0.699297
2019-10-07,10:06:28 PM,32, 4,12,8,1,6,5, 5, 1, 0.6622858
2019-10-07,10:06:29 PM,32, 4,12,8,1,7,4, 4, 1, 0.6842097
2019-10-07,10:06:30 PM,32, 4,12,8,1,8,6, 6, 1, 0.6149434
2019-10-07,10:06:33 PM,32, 4,12,8,2,9,1, 1, 1, 1.142332
2019-10-07,10:06:34 PM,32, 4,12,8,2,10,6, 6, 1, 0.5460321
2019-10-07,10:06:35 PM,32, 4,12,8,2,11,3, 3, 1, 0.5779793
2019-10-07,10:06:36 PM,32, 4,12,8,2,12,2, 2, 1, 0.6470329
2019-10-07,10:06:37 PM,32, 4,12,8,2,13,4, 8, 0, 0.3400718
2019-10-07,10:06:38 PM,32, 4,12,8,2,14,5, 5, 1, 0.5955335
2019-10-07,10:06:39 PM,32, 4,12,8,2,15,4, 4, 1, 0.6323681
2019-10-07,10:06:40 PM,32, 4,12,8,2,16,7, 7, 1, 0.6502959
2019-10-07,10:06:43 PM,32, 4,12,12,3,17,4, 4, 1, 0.6812334
2019-10-07,10:06:44 PM,32, 4,12,12,3,18,8, 8, 1, 0.6636953
2019-10-07,10:06:45 PM,32, 4,12,12,3,19,1, 1, 1, 0.9713205
2019-10-07,10:06:46 PM,32, 4,12,12,3,20,5, 5, 1, 0.5945648
