date, time, ID , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
30-Aug,2019,9:23:48 AM,3,4,8,12,2,8,6,6,1,1.124398
30-Aug,2019,9:23:50 AM,3,4,8,12,2,9,4,4,1,0.9040362
30-Aug,2019,9:23:51 AM,3,4,8,12,2,10,2,2,1,0.9207126
30-Aug,2019,9:24:02 AM,3,4,8,12,2,11,11,11,1,1.334103
30-Aug,2019,9:24:03 AM,3,4,8,12,2,12,5,5,1,1.169177
30-Aug,2019,9:24:05 AM,3,4,8,12,2,13,3,3,1,1.038302
30-Aug,2019,9:24:07 AM,3,4,8,12,2,14,8,8,1,1.204534
30-Aug,2019,9:24:08 AM,3,4,8,12,2,15,12,10,0,1.006042
30-Aug,2019,9:24:13 AM,3,4,8,8,3,16,1,1,1,1.388398
30-Aug,2019,9:24:19 AM,3,4,8,8,3,17,4,4,1,5.896465
