date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-09,12:41:26 PM,9, 1,12,12,7,57,10, 10, 1, 0.7320167
2019-09-09,12:41:28 PM,9, 1,12,12,7,58,12, 12, 1, 1.022317
2019-09-09,12:41:30 PM,9, 1,12,12,7,59,4, 4, 1, 1.208044
2019-09-09,12:41:31 PM,9, 1,12,12,7,60,3, 3, 1, 1.092902
2019-09-09,12:41:32 PM,9, 1,12,12,7,60,0, 0, AVERAGE, 1.252331
2019-09-09,12:41:35 PM,9, 1,12,12,8,61,11, 11, 1, 1.296627
2019-09-09,12:41:37 PM,9, 1,12,12,8,62,8, 7, 0, 1.696111
2019-09-09,12:41:38 PM,9, 1,12,12,8,63,2, 10, 0, 0.3063297
2019-09-09,12:41:40 PM,9, 1,12,12,8,64,8, 8, 1, 1.006019
2019-09-09,12:41:42 PM,9, 1,12,12,8,65,9, 9, 1, 1.602239
2019-09-09,12:41:44 PM,9, 1,12,12,8,66,3, 3, 1, 0.9541142
2019-09-09,12:41:46 PM,9, 1,12,12,8,67,1, 1, 1, 1.159422
2019-09-09,12:41:48 PM,9, 1,12,12,8,68,2, 2, 1, 1.461968
2019-09-09,12:41:49 PM,9, 1,12,12,8,69,12, 12, 1, 1.192775
2019-09-09,12:41:52 PM,9, 1,12,12,8,70,5, 5, 1, 1.655772
2019-09-09,12:41:53 PM,9, 1,12,12,8,71,4, 4, 1, 1.108307
2019-09-09,12:41:55 PM,9, 1,12,12,8,72,7, 6, 0, 1.128083
2019-09-09,12:41:55 PM,9, 1,12,12,8,72,0, 0, AVERAGE, 1.213981
2019-09-09,12:41:59 PM,9, 1,12,12,9,73,1, 1, 1, 1.417193
2019-09-09,12:42:00 PM,9, 1,12,12,9,74,5, 5, 1, 0.7361794
2019-09-09,12:42:02 PM,9, 1,12,12,9,75,6, 6, 1, 0.9044265
2019-09-09,12:42:03 PM,9, 1,12,12,9,76,10, 10, 1, 0.7365231
2019-09-09,12:42:04 PM,9, 1,12,12,9,77,8, 8, 1, 0.6154709
2019-09-09,12:42:06 PM,9, 1,12,12,9,78,12, 12, 1, 1.183979
2019-09-09,12:42:08 PM,9, 1,12,12,9,79,2, 2, 1, 1.209973
2019-09-09,12:42:09 PM,9, 1,12,12,9,80,3, 3, 1, 0.7349615
2019-09-09,12:42:11 PM,9, 1,12,12,9,81,9, 9, 1, 0.5614588
2019-09-09,12:42:12 PM,9, 1,12,12,9,82,4, 4, 1, 0.6803802
2019-09-09,12:42:13 PM,9, 1,12,12,9,83,11, 11, 1, 0.7321225
2019-09-09,12:42:15 PM,9, 1,12,12,9,84,7, 7, 1, 0.8362729
2019-09-09,12:42:15 PM,9, 1,12,12,9,84,0, 0, AVERAGE, 0.8624118
2019-09-09,12:42:18 PM,9, 1,12,12,10,85,4, 5, 0, 0.511173
2019-09-09,12:42:20 PM,9, 1,12,12,10,86,9, 8, 0, 1.331193
2019-09-09,12:42:23 PM,9, 1,12,12,10,87,4, 4, 1, 1.568067
2019-09-09,12:42:25 PM,9, 1,12,12,10,88,11, 11, 1, 1.534608
2019-09-09,12:42:26 PM,9, 1,12,12,10,89,9, 9, 1, 0.7828429
2019-09-09,12:42:28 PM,9, 1,12,12,10,90,2, 2, 1, 0.6634687
2019-09-09,12:42:30 PM,9, 1,12,12,10,91,6, 6, 1, 1.41972
2019-09-09,12:42:31 PM,9, 1,12,12,10,92,7, 7, 1, 0.9210345
2019-09-09,12:42:33 PM,9, 1,12,12,10,93,11, 10, 0, 0.970293
2019-09-09,12:42:34 PM,9, 1,12,12,10,94,12, 12, 1, 1.006744
2019-09-09,12:42:36 PM,9, 1,12,12,10,95,1, 1, 1, 0.7479614
2019-09-09,12:42:37 PM,9, 1,12,12,10,96,3, 3, 1, 0.6459907
2019-09-09,12:42:38 PM,9, 1,12,12,10,96,0, 0, AVERAGE, 1.008591
2019-09-09,12:42:41 PM,9, 1,12,12,11,97,4, 4, 1, 1.113805
2019-09-09,12:42:42 PM,9, 1,12,12,11,98,10, 10, 1, 0.9423365
2019-09-09,12:42:44 PM,9, 1,12,12,11,99,1, 1, 1, 0.6833242
2019-09-09,12:42:45 PM,9, 1,12,12,11,100,12, 11, 0, 0.6825786
2019-09-09,12:42:47 PM,9, 1,12,12,11,101,6, 6, 1, 1.09403
2019-09-09,12:42:48 PM,9, 1,12,12,11,102,5, 5, 1, 1.038178
2019-09-09,12:42:49 PM,9, 1,12,12,11,103,3, 3, 1, 0.7006922
2019-09-09,12:42:51 PM,9, 1,12,12,11,104,9, 9, 1, 0.6828616
